FID,newID,X0_30cm,Clay50m30,Clay100m30,Clay250m30,Clay250mv2
241,242,27.763100000000001,27.645120028203234,13.612067193996007,16.924625181928878,32.318962800066835
19,20,27.800699999999999,34.068222636178092,13.608610593952326,16.758290412625790,31.041393326684016
99,100,27.800699999999999,33.807624747655396,12.770096541736413,15.643691689269351,31.406930827305690
85,86,27.851500000000001,30.278409561333820,21.362671322808438,21.917164088251127,30.110911888645315
40,41,27.853400000000001,35.831735036868288,25.111140927253853,22.037453544469386,30.227497430730995
42,43,27.853400000000001,29.263942851274624,20.799244886962217,19.548666918142267,30.767221395601055
79,80,27.944099999999999,38.506239169350934,14.032766317693206,15.586357162297634,34.041407401743790
244,245,27.990200000000002,38.021578774259375,17.304410173188746,21.521644810867539,29.716841463722240
175,176,28.410299999999999,28.442783939920528,13.015701043506084,16.944006211986373,33.227560488782828
0,1,28.457899999999999,29.204243743611155,15.723192576501519,17.724690961066688,28.195248941570085
26,27,28.457899999999999,32.827869299780360,12.603761107629682,16.826370571570475,29.589061103267806
27,28,28.479299999999999,34.025467179501760,13.183487575464770,15.816334882597292,30.931949529207174
29,30,28.479299999999999,31.107237148019070,13.421039297198366,15.483726245800726,31.238144397302960
43,44,28.479299999999999,29.465345378029301,13.439243694653756,16.941553129673274,29.244167930473743
102,103,28.479299999999999,35.715195412827782,13.185037630324848,16.028130924245762,32.764251109149434
106,107,28.479299999999999,30.457870701539100,16.152102166279963,20.115554468881598,28.770128446577136
240,241,28.968200000000000,31.642141882074611,13.285635733154930,17.026572172793170,32.129314575971520
4,5,29.100200000000001,27.692603945989077,15.214768090386404,18.216819987292510,29.583459911671028
28,29,29.100200000000001,35.206303384451715,12.892312493564150,15.503839415239673,32.874411667211540
58,59,29.100200000000001,35.034196197283116,12.992008982664334,15.237086582734188,30.106433717331150
61,62,29.100200000000001,33.131758683321706,12.920077945316361,16.224064141585423,31.819605062355844
230,231,29.100200000000001,33.103579489325256,12.823705157713453,16.414023785362872,30.094100434509318
206,207,29.223400000000002,25.482896165440202,13.490716945879234,15.794712417988951,31.502992309027498
101,102,29.225600000000000,31.374421669350319,13.132993607445730,15.465582166790870,35.355795360492579
