FID,newID,X0_30cm,BD50m30,BD100m30,BD250m30,BD250mv2
106,107,1.386150000000000,1.100956186164629,1.244026315123600,1.174157596355014,1.461931356059907
57,58,1.387330000000000,1.098367287226648,1.257612871786556,1.188954675766192,1.469901823654790
169,170,1.387330000000000,1.084619339793615,1.247293300847632,1.193455834652725,1.468781886272433
191,192,1.387330000000000,1.104424460776174,1.253962341349698,1.214793187604497,1.464586414264101
17,18,1.387550000000000,1.091709771507103,1.218926641576889,1.230415520008940,1.503603639433766
175,176,1.388730000000000,1.099120027597583,1.265058840206665,1.186373343043094,1.467634911348127
55,56,1.390930000000000,1.090061141640621,1.273911100744187,1.216177989378256,1.466545852115351
87,88,1.390930000000000,1.060297774307608,1.274623615031041,1.205884366369776,1.452039236071667
93,94,1.390930000000000,1.103673398521269,1.257498762257314,1.194122715568064,1.478700067646136
96,97,1.390930000000000,1.089538458945467,1.233304790876635,1.084011331183899,1.426360899923109
103,104,1.390930000000000,1.085608805279130,1.233198816092319,1.186967101612253,1.466529788976054
133,134,1.390930000000000,1.114933868295614,1.251897627578699,1.141584381143893,1.461016731485030
135,136,1.390930000000000,1.116348412067235,1.246375675382097,1.143261701206122,1.463696850238039
139,140,1.390930000000000,1.104664516297225,1.269280864927289,1.170951020631471,1.450700736421197
140,141,1.390930000000000,1.091486852178952,1.243139814334538,1.144219058937066,1.466464016779044
145,146,1.390930000000000,1.090999857390168,1.260881327426682,1.157126052612893,1.442224748131834
151,152,1.390930000000000,1.105575056883017,1.252846793700716,1.146506307420219,1.465115544664285
162,163,1.390930000000000,1.108226010944754,1.267778059280660,1.161612364813388,1.443314842216427
184,185,1.390930000000000,1.119875342620346,1.264255377554237,1.232270605824999,1.463839349564426
198,199,1.390930000000000,1.087976028571939,1.266431732230916,1.208278070489926,1.475862428474508
224,225,1.390930000000000,1.088078036680726,1.229355116594071,1.196452312113399,1.460889062490435
249,250,1.390930000000000,1.085980442589330,1.246016158246452,1.162554357002940,1.459838516858166
90,91,1.391800000000000,1.095851173014185,1.237204894910109,1.203250633907264,1.471580428349112
219,220,1.391800000000000,1.091699070305611,1.237540359669151,1.206614396218163,1.478871217575823
248,249,1.391800000000000,1.116591859253045,1.256042422175053,1.192388942916283,1.458017122544301
216,217,1.391850000000000,1.091717855342984,1.235681916703707,1.164799745151296,1.465465854435156
5,6,1.393270000000000,1.087825967997917,1.230564862893196,1.191141146295487,1.472894546821524
22,23,1.393270000000000,1.089952305320419,1.244065089341235,1.197568693442183,1.444732479502350
32,33,1.393270000000000,1.085946819028893,1.233778059624513,1.198583736950462,1.462189993789514
34,35,1.393270000000000,1.107167968424367,1.233060399036760,1.203813648244261,1.472672668335448
50,51,1.393270000000000,1.079438330022735,1.235529725599745,1.184223601602242,1.456901221442690
52,53,1.393270000000000,1.084123724578154,1.254558422052789,1.187388543633751,1.435499205001966
109,110,1.393270000000000,1.092049243304802,1.232515445133229,1.181944174366914,1.473669037629562
142,143,1.393270000000000,1.097524848103550,1.228955429808232,1.188937216396322,1.482270298729808
159,160,1.393270000000000,1.084848393397251,1.228915521431310,1.189950271621115,1.474829444476997
203,204,1.393270000000000,1.080591831081272,1.235723025882725,1.168223028803548,1.453538404604578
65,66,1.394880000000000,1.086066643621052,1.249298453298090,1.182211584002050,1.459694989012907
97,98,1.394880000000000,1.076871161360959,1.222856990623804,1.220520009962526,1.488773801517223
181,182,1.394880000000000,1.103443585179244,1.218923282114670,1.203240683783025,1.490443499477495
232,233,1.394880000000000,1.079812744790050,1.239621665062993,1.213872584818547,1.466075391441865
242,243,1.394880000000000,1.075266673112139,1.220989914140837,1.206332595621554,1.486912044096386
77,78,1.396500000000000,1.078199318151406,1.258646345498702,1.187123501828489,1.477620572747133
98,99,1.396500000000000,1.107640799243785,1.227968197308787,1.024626531170458,1.443618253023960
233,234,1.396500000000000,1.104840006591670,1.228118263936226,1.134565322975024,1.446217719654802
60,61,1.396590000000000,1.079177524140388,1.248114872251764,1.186129759597453,1.479021708605180
94,95,1.396590000000000,1.101622309567627,1.220160388552028,1.039816113532925,1.440837496770812
199,200,1.396590000000000,1.092857364265677,1.252170702788626,1.189896068025704,1.476531195267874
247,248,1.396590000000000,1.099065416500616,1.238150874885207,1.203209583078928,1.471954801758562
79,80,1.396660000000000,1.125150310832138,1.232913875165859,1.203447498364706,1.469711157360058
56,57,1.397090000000000,1.096145463484725,1.227314557492648,1.190978500217784,1.473323194733034
225,226,1.397090000000000,1.093856101728585,1.237131235507773,1.191962696874834,1.487543374903363
206,207,1.397530000000000,1.110479796082152,1.230211592758766,1.210090957905366,1.465166644176297
19,20,1.397900000000000,1.114603160099192,1.247996782494158,1.187573896222381,1.465930505183143
99,100,1.397900000000000,1.100952026825839,1.236349250438629,1.196994839885130,1.458682237084464
244,245,1.398530000000000,1.077848850682953,1.234341184526884,1.109314015040915,1.438876228496097
182,183,1.398570000000000,1.104240818759366,1.240668185521468,1.161504373582738,1.445393651386901
68,69,1.398870000000000,1.086776898160803,1.266403494702906,1.179549026025461,1.471394414511257
3,4,1.399250000000000,1.061428783293590,1.236191648148886,1.178864365505383,1.470744652389695
12,13,1.399250000000000,1.093849416862782,1.235873867141826,1.207739208510141,1.482270909863454
30,31,1.399280000000000,1.106186228846107,1.225203746523250,1.221829531625056,1.468628112646567
190,191,1.399280000000000,1.079481063989423,1.241678021791962,1.208546814913415,1.475638645593934
40,41,1.399530000000000,1.075795887076991,1.240944002373495,1.257229248050051,1.485715444399760
42,43,1.399530000000000,1.094533533371017,1.227577697548159,1.243924974253978,1.495663081015703
10,11,1.399540000000000,1.078652167181866,1.238179474351950,1.139140307386753,1.472302524827976
126,127,1.399630000000000,1.077993149582271,1.221855438880757,1.204197657666998,1.471620177664910
186,187,1.399820000000000,1.077017945428309,1.240829908885185,1.192327763230082,1.466612844131401
239,240,1.401230000000000,1.073932372455300,1.261435180938474,1.246698919742007,1.469627341794173
101,102,1.402080000000000,1.079763008670214,1.235629177710964,1.212744347111314,1.467614418478851
119,120,1.402080000000000,1.081777422380560,1.272041648763163,1.186316769930831,1.421637759677218
128,129,1.402080000000000,1.083483033148314,1.238260945128544,1.135593822276635,1.456509536994142
178,179,1.402080000000000,1.096585587119294,1.231691748593171,1.215365251326076,1.466191064094538
