FID,newID,X0_30cm,SOC50m30,SOC100m30,SOC250m30,SOC250mv2
54,55,1.335340000000000,1.794584396589124,2.669920675879844,2.569034111456149,1.548021882581045
148,149,1.335340000000000,1.863638135868813,3.036768436713733,3.198716724478232,1.670826851557888
214,215,1.335340000000000,1.614958619351813,2.938156457391925,2.859282010882882,1.651117799226132
250,251,1.335340000000000,1.881814129389480,2.964791040973291,2.918887165613643,1.598615633777833
126,127,1.342900000000000,2.057491200063093,2.860049857925361,2.703532893789413,1.506664181122915
186,187,1.346480000000000,2.157911999267372,2.408237813010808,2.561189802615309,1.556292247594753
107,108,1.355630000000000,1.647695197228526,2.929031189152866,3.458340428453059,1.497281238925798
141,142,1.355630000000000,1.849287570817387,2.294765656970901,3.106926461060715,1.616647089985695
5,6,1.360850000000000,1.965665512519502,2.560194152615164,2.617186807700431,1.503561589564704
22,23,1.360850000000000,2.342783102223352,2.379166753279156,2.335668012240712,1.708414803347222
32,33,1.360850000000000,1.966387378746213,2.882400435680244,2.936005938197324,1.615460580951255
34,35,1.360850000000000,2.107978542514668,2.349135267986147,2.164205766924727,1.650408717528525
50,51,1.360850000000000,2.205864124872638,2.766210821465645,2.817254203721443,1.681722031223901
52,53,1.360850000000000,2.241008922726498,2.453130484084716,3.011918021557494,1.777939965076892
109,110,1.360850000000000,1.855458621737414,3.046488684854998,3.022994147813018,1.506767752698504
142,143,1.360850000000000,1.919701178863377,3.158819120094255,3.032877236550919,1.452790927312609
159,160,1.360850000000000,2.061885374665571,2.952888791649068,2.683112262827329,1.527886958587458
203,204,1.360850000000000,1.918743829176085,3.057309282326053,3.263071283162313,1.646070145067072
240,241,1.362690000000000,1.679235927365791,2.483443780029974,2.964075464138368,1.511877586863821
188,189,1.371100000000000,1.771828090138557,2.653985888965654,2.709936004078864,1.560319609927344
30,31,1.374880000000000,1.695066043288418,2.577905665884740,2.556903999253906,1.655848989115928
190,191,1.374880000000000,1.915533837052925,3.049660799850880,2.506830754361103,1.471453184888148
209,210,1.375970000000000,1.786304129138828,2.459811537056451,2.397782174871592,1.562308766444006
36,37,1.383900000000000,2.152005146536965,2.071676071602784,2.163562713793893,1.604514251072667
48,49,1.383900000000000,1.812313613916433,2.530639960930048,2.391761773568653,1.392556580064387
53,54,1.383900000000000,1.983563699211291,1.702126834986708,1.809529817782607,1.572265305402861
0,1,1.384060000000000,1.452341883724171,2.451413416793458,2.373743584437154,1.560774637473612
26,27,1.384060000000000,1.804181726572218,2.246054695274266,2.584853339123741,1.556884516124995
154,155,1.384840000000000,2.016068450244426,2.377433792628131,2.984768996372239,1.605101046149983
161,162,1.384840000000000,1.985066609676090,2.332873372476521,2.907711433263179,1.591657721924859
79,80,1.398340000000000,1.501343843834741,2.093975701887287,2.523424183461615,1.607687126653343
216,217,1.399750000000000,1.920841075311650,2.341115953139341,2.695715207544690,1.661149833659470
175,176,1.401230000000000,1.875422904364815,2.479103941979241,2.711702515052381,1.482515618776735
23,24,1.401420000000000,1.891640099609907,1.959147734515898,2.081304952502367,1.649697323717285
120,121,1.401550000000000,1.921780650777867,2.561539614131666,2.535253972484859,1.801685018892622
68,69,1.414110000000000,1.964479908785850,2.435440279583568,2.839881408992833,1.534188572253263
182,183,1.415510000000000,1.846929683224445,3.073719501336151,3.130605677303154,1.804194379652668
90,91,1.421360000000000,1.839780704216357,2.320602473423770,2.533013675667885,1.440918313229073
219,220,1.421360000000000,1.962300521554374,2.444160487629405,2.722446207331474,1.443199585753287
248,249,1.421360000000000,1.764137584092678,2.332158658278045,2.645193732108870,1.569703626034644
19,20,1.424230000000000,1.633411974313493,2.897249304520701,2.987127319491469,1.460944406628196
99,100,1.424230000000000,1.783296032168241,2.397201099257029,2.792195434461612,1.425709237735708
194,195,1.427300000000000,1.781475216766011,2.555496580705813,2.902404934487852,1.444771788919954
1,2,1.431880000000000,1.839959846868556,2.837069839476659,2.312062785189668,1.583849204720176
119,120,1.438220000000000,2.028631682991264,3.159610986527160,3.409949128348025,1.638010363071339
