FID,newID,X0_30cm,Sand100m30,Sand250m30,Sand50m30,Sand250mv2
27,28,31.902200000000001,48.308935667547743,53.552657068929506,33.734900000000003,31.591079483946853
29,30,31.902200000000001,55.463137609842093,54.661735303771515,34.853200000000001,30.335780531104323
43,44,31.902200000000001,52.908989384699318,49.948499173526152,25.953399999999998,34.567992592661682
102,103,31.902200000000001,56.027823920460563,54.805216907712641,29.989000000000001,30.437225903363611
106,107,31.902200000000001,45.497358336868380,47.610705538387151,29.409199999999998,36.080355413816704
19,20,32.034599999999998,55.130162312561396,50.610624283584698,28.033300000000001,33.016302538820995
99,100,32.034599999999998,55.067416180193767,52.703986083675716,28.083500000000001,30.128723273376934
226,227,32.213500000000003,53.383464528158726,51.311029247274583,33.103000000000002,32.983141590929613
59,60,32.554200000000002,49.502784625722491,52.230292671971917,31.207500000000000,31.273009253325817
241,242,32.554200000000002,52.261622741725525,49.432710416436180,32.081400000000002,33.017896796782374
23,24,32.671799999999998,49.178704544752030,47.677222620771445,28.646999999999998,35.170604537217869
4,5,32.918199999999999,52.379259991081781,49.712722731504030,31.822700000000001,34.163749015455885
28,29,32.918199999999999,51.069589828902132,54.492933955057282,33.140400000000000,30.165556181746812
58,59,32.918199999999999,49.812960445793792,51.629176542667032,29.698000000000000,30.800092725288650
61,62,32.918199999999999,49.973381818310969,51.784880941581513,33.851700000000001,31.669072760819947
230,231,32.918199999999999,53.643420640906911,53.845708489033093,24.901000000000000,33.646715459812320
95,96,33.005499999999998,56.960427803604148,54.348301456356133,26.023700000000002,35.359501147422975
44,45,33.058799999999998,50.952408929787424,50.945866992334302,34.145699999999998,32.415402559680714
91,92,33.058799999999998,55.924939896313873,52.015395585432373,31.858499999999999,29.519643390453062
123,124,33.058799999999998,50.500878660019588,48.449485833950774,30.349699999999999,34.700010318284086
137,138,33.058799999999998,57.098374922346537,56.471715320050727,32.781799999999997,32.300364858462672
36,37,33.115299999999998,46.651715236782231,46.919667171593552,32.687700000000000,34.856284209813708
48,49,33.115299999999998,49.525422343144029,47.660719682127635,26.922100000000000,31.551257065426565
53,54,33.115299999999998,44.759335583549451,47.262846689495717,32.947600000000001,34.799953571271665
38,39,33.619399999999999,50.047938301039281,46.246446373077681,34.813200000000002,35.731719491532530
54,55,33.619399999999999,52.418891543631808,47.806475937590179,30.194500000000001,32.709331156694560
148,149,33.619399999999999,54.594924382907095,49.629988947746376,32.118600000000001,35.540533299793523
214,215,33.619399999999999,52.330898717813398,47.212209744178558,27.202700000000000,33.706380093923691
250,251,33.619399999999999,54.136899149455864,47.950980844772992,32.725200000000001,32.337043748275754
213,214,34.096600000000002,49.623376757841243,52.880472529037334,28.032599999999999,29.481285450341431
