"POLY_ID","CMP","PERCENT","SOIL_CODE","SOIL_ID","CMP_ID","ORDER3","G_GROUP3","GTGRP","GG_ID"
502007,1,70,"REC","NBREC217~~A",50200701,"PZ","HFP","humo-ferric",23
502007,2,30,"SBY","NBSBY217~~A",50200702,"BR","SB","sombric",3
502008,1,56,"REC","NBREC60~~~A",50200801,"PZ","HFP","humo-ferric",23
502008,2,24,"REC","NBREC166~~A",50200802,"PZ","HFP","humo-ferric",23
502008,3,10,"LAV","NBLAV182~~A",50200803,"OR","F","fibrisol",17
502008,4,10,"SBY","NBSBY253~~A",50200804,"BR","SB","sombric",3
502009,1,70,"REC","NBREC60~~~A",50200901,"PZ","HFP","humo-ferric",23
502009,2,30,"SBY","NBSBY253~~A",50200902,"BR","SB","sombric",3
502010,1,70,"REC","NBREC125~~N",50201001,"PZ","HFP","humo-ferric",23
502010,2,30,"ACS","NBACS182~~N",50201002,"OR","M","mesisol",18
502011,1,49,"GGW","NBGGW280~~A",50201101,"PZ","HFP","humo-ferric",23
502011,2,21,"GGW","NBGGW125~~N",50201102,"GL","G","gleysol",14
502011,3,21,"RVK","NBRVK280~~A",50201103,"BR","SB","sombric",3
502011,4,9,"RVK","NBRVK125~~N",50201104,"BR","DYB","dystric",4
502012,1,56,"REC","NBREC8~~~~A",50201201,"PZ","HFP","humo-ferric",23
502012,2,24,"SBY","NBSBY8~~~~A",50201202,"BR","SB","sombric",3
502012,3,10,"REC","NBREC125~~N",50201203,"PZ","HFP","humo-ferric",23
502012,4,10,"REC","NBREC220~~N",50201204,"PZ","HFP","humo-ferric",23
502013,1,100,"LAV","NBLAV182~~A",50201301,"OR","F","fibrisol",17
502014,1,55,"GGW","NBGGW280~~A",50201401,"PZ","HFP","humo-ferric",23
502014,2,30,"ITV","NBITV125~~N",50201402,"GL","G","gleysol",14
502014,3,15,"RVK","NBRVK8~~~~A",50201403,"BR","SB","sombric",3
502015,1,90,"REC","NBREC217~~A",50201501,"PZ","HFP","humo-ferric",23
502015,2,10,"SBY","NBSBY220~~A",50201502,"BR","SB","sombric",3
502016,1,70,"REC","NBREC217~~A",50201601,"PZ","HFP","humo-ferric",23
502016,2,30,"SBY","NBSBY217~~A",50201602,"BR","SB","sombric",3
502017,1,49,"REC","NBREC217~~A",50201701,"PZ","HFP","humo-ferric",23
502017,2,30,"REC","NBREC8~~~~A",50201702,"PZ","HFP","humo-ferric",23
502017,3,21,"SBY","NBSBY217~~A",50201703,"BR","SB","sombric",3
502018,1,63,"REC","NBREC125~~N",50201801,"PZ","HFP","humo-ferric",23
502018,2,27,"ACS","NBACS182~~N",50201802,"OR","M","mesisol",18
502018,3,10,"LAV","NBLAV182~~A",50201803,"OR","F","fibrisol",17
502019,1,63,"REC","NBREC217~~A",50201901,"PZ","HFP","humo-ferric",23
502019,2,27,"SBY","NBSBY217~~A",50201902,"BR","SB","sombric",3
502019,3,10,"SBY","NBSBY220~~A",50201903,"BR","SB","sombric",3
502020,1,70,"REC","NBREC125~~N",50202001,"PZ","HFP","humo-ferric",23
502020,2,30,"ACS","NBACS182~~N",50202002,"OR","M","mesisol",18
502021,1,56,"REC","NBREC125~~N",50202101,"PZ","HFP","humo-ferric",23
502021,2,24,"ACS","NBACS182~~N",50202102,"OR","M","mesisol",18
502021,3,10,"LAV","NBLAV182~~A",50202103,"OR","F","fibrisol",17
502021,4,10,"SBY","NBSBY8~~~~A",50202104,"BR","SB","sombric",3
502022,1,63,"REC","NBREC8~~~~A",50202201,"PZ","HFP","humo-ferric",23
502022,2,27,"SBY","NBSBY217~~A",50202202,"BR","SB","sombric",3
502022,3,10,"ACS","NBACS182~~N",50202203,"OR","M","mesisol",18
502024,1,70,"REC","NBREC217~~A",50202401,"PZ","HFP","humo-ferric",23
502024,2,30,"SBY","NBSBY217~~A",50202402,"BR","SB","sombric",3
502025,1,100,"ACS","NBACS182~~N",50202501,"OR","M","mesisol",18
502026,1,70,"REC","NBREC8~~~~A",50202601,"PZ","HFP","humo-ferric",23
502026,2,30,"SBY","NBSBY217~~A",50202602,"BR","SB","sombric",3
502027,1,44,"PEV","NBPEV220~~A",50202701,"PZ","HFP","humo-ferric",23
